Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
Russia,"–§–ï–î–ï–†–ê–õ–¨–ù–´–ô –ó–ê–ö–û–ù –û –ø—Ä–æ–≤–µ–¥–µ–Ω–∏–∏ —ç–∫—Å–ø–µ—Ä–∏–º–µ–Ω—Ç–∞ –ø–æ —É—Å—Ç–∞–Ω–æ–≤–ª–µ–Ω–∏—é —Å–ø–µ—Ü–∏–∞–ª—å–Ω–æ–≥–æ —Ä–µ–≥—É–ª–∏—Ä–æ–≤–∞–Ω–∏—è –≤ —Ü–µ–ª—è—Ö —Å–æ–∑–¥–∞–Ω–∏—è –Ω–µ–æ–±—Ö–æ–¥–∏–º—ã—Ö —É—Å–ª–æ–≤–∏–π –¥–ª—è —Ä–∞–∑—Ä–∞–±–æ—Ç–∫–∏ –∏ –≤–Ω–µ–¥—Ä–µ–Ω–∏—è —Ç–µ—Ö–Ω–æ–ª–æ–≥–∏–π –∏—Å–∫—É—Å—Å—Ç–≤–µ–Ω–Ω–æ–≥–æ –∏–Ω—Ç–µ–ª–ª–µ–∫—Ç–∞ –≤ —Å—É–±—ä–µ–∫—Ç–µ –†–æ—Å—Å–∏–π—Å–∫–æ–π –§–µ–¥–µ—Ä–∞—Ü–∏–∏ - –≥–æ—Ä–æ–¥–µ —Ñ–µ–¥–µ—Ä–∞–ª—å–Ω–æ–≥–æ –∑–Ω–∞—á–µ–Ω–∏—è –ú–æ—Å–∫–≤–µ –∏ –≤–Ω–µ—Å–µ–Ω–∏–∏ –∏–∑–º–µ–Ω–µ–Ω–∏–π –≤ —Å—Ç–∞—Ç—å–∏ 6 –∏ 10 –§–µ–¥–µ—Ä–∞–ª—å–Ω–æ–≥–æ –∑–∞–∫–æ–Ω–∞ ""–û –ø–µ—Ä—Å–æ–Ω–∞–ª—å–Ω—ã—Ö –¥–∞–Ω–Ω—ã—Ö""",Federal Law of 24 April 2020 No. 123-FZ on the Experiment to Establish Special Regulation in Order to Create the Necessary Conditions for the Development and Implementation of Artificial Intelligence Technologies in the Region of the Russian Federation ‚Äì Federal City of Moscow and Amending the Articles 6 and 10 of the Federal Law on Personal Data,Russia (Federal Law of 24 April 2020 No. 123-FZ on the Experiment to Establish Special Regulation in Order to Create the Necessary Conditions for the Development and Implementation of Artificial Intelligence Technologies...).txt,In Effect,Russia,Russia,[Not Applicable],2001,2020,[None],ICCPR+OP; CoE108(SP); CoE108+(S),CoE; APEC,Russian,http://publication.pravo.gov.ru/Document/Text/0001202004240030,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/russia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Russia,–æ—Å–æ–±–µ–Ω–Ω–æ—Å—Ç–∏ –∏—Å–ø–æ–ª—å–∑–æ–≤–∞–Ω–∏—è —Ç–µ–ø–ª–æ–≤–∏–∑–æ—Ä–æ–≤ —Ä–∞–±–æ—Ç–æ–¥–∞—Ç–µ–ª—è–º–∏ - –æ–ø–µ—Ä–∞—Ç–æ—Ä–∞–º–∏ –ø–µ—Ä—Å–æ–Ω–∞–ª—å–Ω—ã—Ö –¥–∞–Ω–Ω—ã—Ö ‚Äì —Å —Ü–µ–ª—å—é –ø—Ä–µ–¥–æ—Ç–≤—Ä–∞—â–µ–Ω–∏—è —Ä–∞—Å–ø—Ä–æ—Å—Ç—Ä–∞–Ω–µ–Ω–∏—è –∫–æ—Ä–æ–Ω–∞–≤–∏—Ä—É—Å–∞,Recommendations with regard to some COVID-19-related data protection compliance issues,Russia (Recommendations with regard to some COVID-19-related data protection compliance issues).txt,In Effect,Russia,Russia,[Not Applicable],2001,2020,[None],ICCPR+OP; CoE108(SP); CoE108+(S),CoE; APEC,Russian,https://rkn.gov.ru/news/rsoc/news72206.htm,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/russia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
San Marino,Law regulating the Computerized Collection of Personal Data,[Not Applicable],San Marino (Law regulating the Computerized Collection of Personal Data).txt,In Effect,San Marino,San Marino,Both,1983,2018,2018,ICCPR+OP; CoE108,CoE,English,https://www.dataguidance.com/legal-research/law-no-171-21-december-2018-protection,N,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,Modeled after GDPR,
S√£o Tom√© and Principe,Lei n.¬∫ 03/2016 Visa Garantir e Proteger os dados pessoais das Pessoas Singulares.,Law No. 03/2016 on the Protection of Personal Data,São Tomé and Principe (Lei n.º 03_2016 Visa Garantir e Proteger os dados pessoais das Pessoas Singulares.).txt,In Effect,S√£o Tom√© and Principe,S√£o Tom√© and Principe,Both,2016,2016,2016,CoE108(IA); AUConv(S); ICCPR+OP,AU; ECCAS,Portuguese,https://www.dataguidance.com/sites/default/files/STP%20-%20Lei%20n.%C2%BA%2003_2016%20-%20Lei%20de%20Garantia%20e%20Protec%C3%A7%C3%A3o%20dos%20Dados%20Pessoais%20d....pdf,N,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,4/25/21,4/25/21,[Not Applicable],
Saudi Arabia,Basic Law of Governance of 1992 (Royal Order No. A/91 of 1992),[Not Applicable],Saudi Arabia (Basic Law of Governance of 1992 (Royal Order No. A_91 of 1992)).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],1992,1992,[None],[Not Applicable],[Not Applicable],English,https://www.saudiembassy.net/basic-law-governance,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/saudi-arabia,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,"Anti-Cyber Crime Law of 2007 (Royal Decree No. M/17),",[Not Applicable],Saudi Arabia (Anti-Cyber Crime Law of 2007 (Royal Decree No. M_17)).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2007,2007,[None],[Not Applicable],[Not Applicable],English,https://www.mcit.gov.sa/sites/default/files/anti_cyber_crime_law_en_0.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/saudi-arabia,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,National Data Governance Interim Regulations,[Not Applicable],Saudi Arabia (National Data Governance Interim Regulations).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2020,2020,[None],[Not Applicable],[Not Applicable],English,https://sdaia.gov.sa/ndmo/Files/PoliciesEn.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/saudi-arabia,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,ŸÜÿ∏ÿßŸÖ ŸÖÿ±ÿßŸÇÿ®ÿ© ÿßŸÑÿ®ŸÜŸàŸÉ,Banking Control Law of 1966 (Royal Decree No. M/5 of 1966),Saudi Arabia (Banking Control Law of 1966 (Royal Decree No. M_5 of 1966)).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],1966,1966,[None],[Not Applicable],[Not Applicable],Arabic,https://www.sama.gov.sa/en-US/Laws/BankingRules/%D9%86%D8%B8%D8%A7%D9%85%20%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9%20%D8%A7%D9%84%D8%A8%D9%86%D9%88%D9%83.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/saudi-arabia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,Side-by-side English and Arabic,
Saudi Arabia,Cloud Computing Regulatory Framework of 2019,[Not Applicable],Saudi Arabia (Cloud Computing Regulatory Framework of 2019).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2019,2019,[None],[Not Applicable],[Not Applicable],English,https://www.citc.gov.sa/en/RulesandSystems/RegulatoryDocuments/Documents/CCRF_En.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/saudi-arabia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,Cybersecurity Regulatory Framework for the ICT Sector Version 1.0 of 2019,[Not Applicable],Saudi Arabia (Cybersecurity Regulatory Framework for the ICT Sector Version 1.0 of 2019).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2019,2019,[None],[Not Applicable],[Not Applicable],English,https://www.citc.gov.sa/en/new/publicConsultation/Documents/144010_1_E.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/saudi-arabia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,Cybersecurity Regulatory Framework,[Not Applicable],Saudi Arabia (Cybersecurity Regulatory Framework).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2020,2020,[None],[Not Applicable],[Not Applicable],English,https://www.citc.gov.sa/en/RulesandSystems/CyberSecurity/Documents/CRF-en.pdf,Y,[Not Applicable],[Not Applicable],https://www.citc.gov.sa/en/RulesandSystems/CyberSecurity/Pages/default.aspx,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,Anti-Money Laundering Law of 2017 (Royal Decree No. M/20 of 2017),[Not Applicable],Saudi Arabia (Anti-Money Laundering Law of 2017 (Royal Decree No. M_20 of 2017)).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2017,2017,[None],[Not Applicable],[Not Applicable],English,https://www.sama.gov.sa/en-US/Laws/BankingRules/Anti-Money%20Laundering%20Law.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/saudi-arabia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Saudi Arabia,Internet of Things Framework,[Not Applicable],Saudi Arabia (Internet of Things Framework).txt,In Effect,Saudi Arabia,Saudi Arabia,[Not Applicable],2019,2019,[None],[Not Applicable],[Not Applicable],English,https://www.citc.gov.sa/en/RulesandSystems/RegulatoryDocuments/Documents/IoT_REGULATORY_FRAMEWORK.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/saudi-arabia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/8/21,6/8/21,[Not Applicable],
Senegal,PERTSONNAL DATA PROTECTION IN SENEGAL,COMPILATION OF THE SPECIFIC FOR THE PROTECTION OF PERSONAL DATA IN SENEGAL,Senegal (COMPILATION OF THE SPECIFIC FOR THE PROTECTION OF PERSONAL DATA IN SENEGAL).txt,In Effect,Senegal,Senegal,[Not Applicable],2008,2008,[None],ICCPR+OP; CoE108(RP); ECOWAS Act; AUConv(R),AU; ECOWAS,English,https://www.dataguidance.com/sites/default/files/Senegal_data_protection_law_EN_1.pdf, N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/sites/default/files/Senegal_data_protection_law_EN_1.pdf,gpi-corpus/laws/plain text files/english text files/original english text files,6/8/21,6/8/21,[Not Applicable],
Serbia,–ó–ê–ö–û–ù –û –ó–ê–®–¢–ò–¢–ò –ü–û–î–ê–¢–ê–ö–ê –û –õ–ò–ß–ù–û–°–¢–ò,Law on Protection of Personal Data 2018,Serbia (ЗАКОН О ЗАШТИТИ ПОДАТАКА О ЛИЧНОСТИ).txt,In Effect,Serbia,Serbia,Both,2008,2018,2018,ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/images/stories/dokumentacija-nova/zakoni/ZZPLnovembar2018/ZZPLnovembar2018.doc,Y,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,4/25/21,4/25/21,GDPR implementation,
Serbia,ZAKON O INFORMACIONOJ BEZBEDNOSTI,"Law on Information Security (No. 6/2016, 94/2017, 77/2019)","Serbia (Law on Information Security (No. 6_2016, 94_2017, 77_2019)).txt",In Effect,Serbia,Serbia,[Not Applicable],2008,2016,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.paragraf.rs/propisi/zakon_o_informacionoj_bezbednosti.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/jurisdiction/serbia,gpi-corpus/laws/plain text files/english text files/english translated text files,6/8/21,6/8/21,[Not Applicable],
Serbia,–ü—Ä–∞–≤–∏–ª–Ω–∏–∫ –æ –Ω–∞—á–∏–Ω—É –ø—Ä–µ—Ç—Ö–æ–¥–Ω–µ –ø—Ä–æ–≤–µ—Ä–µ —Ä–∞–¥—ö–∏ –æ–±—Ä–∞–¥–µ –ø–æ–¥–∞—Ç–∞–∫–∞ –æ –ª–∏—á–Ω–æ—Å—Ç–∏,Rulebook on the Manner of Prior Review of Personal Data Processing,Serbia (Правилник о начину претходне провере радњи обраде података о личности).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2009,[None],ICCPR+OP; CoE108(RP),CoE,Serbian,https://www.poverenik.rs/sr/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/729-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%BE-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D1%83-%D0%BF%D1%80%D0%B5%D1%82%D1%85%D0%BE%D0%B4%D0%BD%D0%B5-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%B5-%D1%80%D0%B0%D0%B4%D1%9A%D0%B8-%D0%BE%D0%B1%D1%80%D0%B0%D0%B4%D0%B5-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,–£—Ä–µ–¥–±–∞ –æ –æ–±—Ä–∞—Å—Ü—É –∑–∞ –≤–æ—í–µ—ö–µ –µ–≤–∏–¥–µ–Ω—Ü–∏—ò–µ –∏ –Ω–∞—á–∏–Ω—É –≤–æ—í–µ—ö–∞ –µ–≤–∏–¥–µ–Ω—Ü–∏—ò–µ –æ –æ–±—Ä–∞–¥–∏ –ø–æ–¥–∞—Ç–∞–∫–∞ –æ –ª–∏—á–Ω–æ—Å—Ç–∏,Decree on the Form for and Manner of Keeping Records of Personal Data Processing,Serbia (Уредба о обрасцу за вођење евиденције и начину вођења евиденције о обради података о личности).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2009,[None],ICCPR+OP; CoE108(RP),CoE,Serbian,https://www.poverenik.rs/sr/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/781-%D1%83%D1%80%D0%B5%D0%B4%D0%B1%D0%B0-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D1%81%D1%86%D1%83-%D0%B7%D0%B0-%D0%B2%D0%BE%D1%92%D0%B5%D1%9A%D0%B5-%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%98%D0%B5-%D0%B8-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D1%83-%D0%B2%D0%BE%D1%92%D0%B5%D1%9A%D0%B0-%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%98%D0%B5-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D0%B4%D0%B8-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,Pravilnik o obrascu i naƒçinu voƒëenja evidencije lica za za≈°titu podataka o liƒçnosti,Rulebook on the Form and Manner of Keeping Record of the Data Protection Officer,Serbia (Pravilnik o obrascu i načinu vođenja evidencije lica za zaštitu podataka o ličnosti).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2019,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/sr-yu/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/3121-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D1%81%D1%86%D1%83-%D0%B8-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D1%83-%D0%B2%D0%BE%D1%92%D0%B5%D1%9A%D0%B0-%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%98%D0%B5-%D0%BB%D0%B8%D1%86%D0%B0-%D0%B7%D0%B0-%D0%B7%D0%B0%D1%88%D1%82%D0%B8%D1%82%D1%83-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,Pravilnik o obrascu i naƒçinu voƒëenja interne evidencije o povredama Zakona o za≈°titi podataka o liƒçnosti i merama koje se u vr≈°enju inspekcijskog nadzora preduzimaju,Rulebook on the Form and Manner of Keeping Internal Record of Violations of the Law on Personal Data Protection and Measures Undertaken in the Course of Inspection Supervision,Serbia (Pravilnik o obrascu i načinu vođenja interne evidencije o povredama Zakona o zaštiti podataka o ličnosti i merama koje se u vršenju inspekcijskog nadzora preduzimaju).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2019,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/sr-yu/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/3120-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D1%81%D1%86%D1%83-%D0%B8-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D1%83-%D0%B2%D0%BE%D1%92%D0%B5%D1%9A%D0%B0-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5-%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%98%D0%B5-%D0%BE-%D0%BF%D0%BE%D0%B2%D1%80%D0%B5%D0%B4%D0%B0%D0%BC%D0%B0-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0-%D0%BE-%D0%B7%D0%B0%D1%88%D1%82%D0%B8%D1%82%D0%B8-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B8-%D0%BC%D0%B5%D1%80%D0%B0%D0%BC%D0%B0-%D0%BA%D0%BE%D1%98%D0%B5-%D1%81%D0%B5-%D1%83-%D0%B2%D1%80%D1%88%D0%B5%D1%9A%D1%83-%D0%B8%D0%BD%D1%81%D0%BF%D0%B5%D0%BA%D1%86%D0%B8%D1%98%D1%81%D0%BA%D0%BE%D0%B3-%D0%BD%D0%B0%D0%B4%D0%B7%D0%BE%D1%80%D0%B0-%D0%BF%D1%80%D0%B5%D0%B4%D1%83%D0%B7%D0%B8%D0%BC%D0%B0%D1%98%D1%83.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,Pravilnik o obrascu obave≈°tenja o povredi podataka o liƒçnosti i naƒçinu obave≈°tavanja Poverenika za informacije od javnog znaƒçaja i za≈°titu podataka o liƒçnosti o povredi podataka o liƒçnosti,Rulebook on the Form of Notification on Personal Data Breach and Manner of Notifying the Commissioner for Information of Public Importance and Protection of Personal Data on Personal Data Breach,Serbia (Pravilnik o obrascu obaveštenja o povredi podataka o ličnosti i načinu obaveštavanja Poverenika za informacije od javnog značaja i zaštitu podataka o ličnosti o povredi podataka o ličnosti).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2019,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/sr-yu/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/3122-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D1%81%D1%86%D1%83-%D0%BE%D0%B1%D0%B0%D0%B2%D0%B5%D1%88%D1%82%D0%B5%D1%9A%D0%B0-%D0%BE-%D0%BF%D0%BE%D0%B2%D1%80%D0%B5%D0%B4%D0%B8-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B8-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D1%83-%D0%BE%D0%B1%D0%B0%D0%B2%D0%B5%D1%88%D1%82%D0%B0%D0%B2%D0%B0%D1%9A%D0%B0-%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%98%D0%B5-%D0%BE%D0%B4-%D1%98%D0%B0%D0%B2%D0%BD%D0%BE%D0%B3-%D0%B7%D0%BD%D0%B0%D1%87%D0%B0%D1%98%D0%B0-%D0%B8-%D0%B7%D0%B0%D1%88%D1%82%D0%B8%D1%82%D1%83-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BE-%D0%BF%D0%BE%D0%B2%D1%80%D0%B5%D0%B4%D0%B8-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,Pravilnik o obrascu pritu≈æbe,Rulebook on the Complaint Form,Serbia (Pravilnik o obrascu pritužbe).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2019,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/sr-yu/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/3123-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%BE-%D0%BE%D0%B1%D1%80%D0%B0%D1%81%D1%86%D1%83-%D0%BF%D1%80%D0%B8%D1%82%D1%83%D0%B6%D0%B1%D0%B5.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Serbia,Odluka o listi vrsta radnji obrade podataka o liƒçnosti za koje se mora izvr≈°iti procena uticaja na za≈°titu podataka o liƒçnosti i tra≈æiti mi≈°ljenje Poverenika,Decision on the List of Types of Personal Data Processing Operations for Which an Assessment of the Impact on the Personal Data Protection Must be Performed and the Opinion of the Commissioner for Information of Public Importance and Personal Data Protection Must be Sought,Serbia (Odluka o listi vrsta radnji obrade podataka o ličnosti za koje se mora izvršiti procena uticaja na zaštitu podataka o ličnosti i tražiti mišljenje Poverenika).txt,In Effect,Serbia,Serbia,[Not Applicable],2008,2019,2020,ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.poverenik.rs/sr-yu/%D0%BF%D0%BE%D0%B4%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%81%D0%BA%D0%B8-%D0%B0%D0%BA%D1%82%D0%B84/3127-%D0%BE%D0%B4%D0%BB%D1%83%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%81%D1%82%D0%B8-%D0%B2%D1%80%D1%81%D1%82%D0%B0-%D1%80%D0%B0%D0%B4%D1%9A%D0%B8-%D0%BE%D0%B1%D1%80%D0%B0%D0%B4%D0%B5-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B7%D0%B0-%D0%BA%D0%BE%D1%98%D0%B5-%D1%81%D0%B5-%D0%BC%D0%BE%D1%80%D0%B0-%D0%B8%D0%B7%D0%B2%D1%80%D1%88%D0%B8%D1%82%D0%B8-%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%BD%D0%B0-%D1%83%D1%82%D0%B8%D1%86%D0%B0%D1%98%D0%B0-%D0%BD%D0%B0-%D0%B7%D0%B0%D1%88%D1%82%D0%B8%D1%82%D1%83-%D0%BF%D0%BE%D0%B4%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%BE-%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B8-%D1%82%D1%80%D0%B0%D0%B6%D0%B8%D1%82%D0%B8-%D0%BC%D0%B8%D1%88%D1%99%D0%B5%D1%9A%D0%B5-%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%BA%D0%B0.html,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/serbia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
